SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1270.00,1291.10,1259.25,1272.30,1272.30,1268.55,648,6518,8317280.00,
500003,AEGIS LOGIS ,A ,Q,200.45,200.50,194.05,197.85,197.85,199.15,279,4114,817456.00,
500008,AMAR RAJA BA,A ,Q,767.50,780.65,760.00,771.30,769.65,767.30,540,16129,12469081.00,
500009,A.SARABHAI  ,X ,Q,12.00,12.22,11.70,11.98,11.98,12.28,40,24771,298527.00,
500010,HDFC        ,A ,Q,1961.05,1982.70,1942.55,1978.00,1978.00,1961.00,2192,52914,104010073.00,
500012,ANDHRA PETRO,X ,Q,58.25,59.50,55.15,56.40,56.40,57.70,188,42486,2427567.00,
500013,ANSAL INFRAS,B ,Q,12.00,12.30,10.20,10.56,10.35,12.25,457,97219,1121571.00,
500014,APPLE FINANC,XT,Q,2.55,2.55,2.32,2.32,2.32,2.44,13,3145,7435.00,
500016,ARUNAHTEL   ,XT,Q,7.80,7.80,7.80,7.80,7.80,7.80,3,104,811.00,
500020,BOM DYEING  ,B ,Q,115.00,117.50,112.10,115.20,115.20,114.30,1305,133470,15314554.00,
500024,ASSAMCO     ,B ,Q,1.80,1.91,1.73,1.73,1.73,1.82,36,31217,55168.00,
500027,ATUL LTD.   ,A ,Q,3509.00,3550.00,3500.00,3535.90,3550.00,3511.40,129,405,1427990.00,
500028,ATV PROJECTS,XT,Q,7.29,7.29,7.05,7.28,7.28,7.31,14,4674,33162.00,
500029,AUTOLITE(I) ,B ,Q,35.70,37.35,34.00,34.85,34.70,36.50,91,11031,385168.00,
500031,BAJAJ ELECT.,A ,Q,463.00,477.90,462.25,474.35,475.95,466.40,530,11451,5390738.00,
500032,BAJAJHIND   ,B ,Q,7.85,7.98,7.53,7.68,7.68,7.98,291,208124,1606816.00,
500033,FORCE MOTR  ,A ,Q,1470.00,1470.00,1391.30,1410.80,1410.80,1454.15,982,8090,11558387.00,
500034,BAJFINANCE  ,A ,Q,2635.00,2635.00,2573.00,2594.05,2594.05,2627.55,2613,95067,247404748.00,
500038,BALRAM.CHINI,A ,Q,103.00,103.30,101.25,102.35,102.35,102.10,1282,147094,15052806.00,
500039,BANCO PROD. ,B ,Q,172.50,175.95,171.95,173.25,173.25,170.15,15,319,55099.00,
500040,CENTURY TEXT,A ,Q,794.45,794.95,759.00,763.55,763.55,791.70,1575,66117,51104456.00,
500042,BASF INDIA  ,A ,Q,1344.15,1379.40,1344.00,1354.30,1370.40,1346.50,188,924,1256645.00,
500043,BATA INDIA  ,A ,Q,1150.00,1190.00,1137.00,1182.85,1182.85,1144.30,1584,55320,64446956.00,
500048,BEML LTD    ,A ,Q,819.00,819.00,785.50,796.15,796.15,799.25,3289,162618,130171977.00,
500049,BHARAT ELECT,A ,Q,84.95,84.95,81.65,82.85,82.85,84.45,1168,312308,25896666.00,
500052,BHANSALI ENG,B ,Q,71.00,71.30,67.20,68.60,68.60,70.95,867,79205,5536789.00,
500055,TATASTLBSL  ,T ,Q,29.35,30.00,28.00,28.55,28.70,29.35,316,88257,2541371.00,
500058,BIHAR SPONGE,XT,Q,1.13,1.13,1.13,1.13,1.13,1.15,11,959,1083.00,
500059,BINANI IND. ,B ,Q,43.00,43.00,40.10,40.45,40.45,43.45,161,13323,543057.00,
500060,BIRLACABLE  ,B ,Q,163.50,169.85,162.00,164.30,164.85,168.35,234,5427,889141.00,
500067,BLUE STAR   ,A ,Q,600.35,605.95,592.05,594.35,596.00,601.80,93,497,297219.00,
500068,DISA INDIA  ,X ,Q,6195.00,6195.00,5884.05,6109.90,6150.00,6028.00,7,19,116183.00,
500069,BNK CAPITAL ,X ,Q,95.25,97.10,93.50,93.50,93.50,95.35,8,3606,343554.00,
500074,BPL LTD.    ,B ,Q,35.40,36.00,32.90,33.15,32.90,36.20,222,39146,1312970.00,
500078,OAL         ,X ,Q,252.10,254.65,241.00,242.15,242.00,251.00,232,8795,2154836.00,
500083,CENTURY EXT ,B ,Q,6.50,6.60,6.00,6.45,6.36,6.52,57,12897,82789.00,
500084,CESC LTD.   ,A ,Q,631.00,695.30,631.00,681.75,680.00,696.10,332,12315,8352379.00,
500085,CHAMBAL FERT,A ,Q,171.00,171.05,164.20,165.45,165.45,172.95,303,15453,2567381.00,
500086,EXIDE IND.  ,A ,Q,229.45,229.45,216.85,224.30,223.10,226.55,5287,402054,89203173.00,
500087,CIPLA LTD.  ,A ,Q,522.00,522.00,506.65,508.70,508.70,520.55,940,57436,29365235.00,
500089,DIC INDIA   ,B ,Q,338.30,359.90,338.30,359.90,359.90,344.00,2,13,4462.00,
500092,CRISIL LTD  ,A ,Q,1650.00,1650.00,1633.80,1645.95,1643.10,1663.35,62,255,419384.00,
500093,CGPOWER     ,A ,Q,38.45,38.45,36.65,36.85,36.85,37.95,848,489400,18216986.00,
500096,DABUR (I)   ,A ,Q,450.10,458.00,443.75,447.25,447.25,451.80,2149,143866,64881924.00,
500097,DALMIASUG   ,B ,Q,92.40,92.55,88.90,89.65,89.65,92.05,174,7226,658347.00,
500101,ARVIND Ltd  ,A ,Q,89.90,89.90,86.55,87.20,87.20,88.30,525,108507,9511853.00,
500102,BALARPUR IND,B ,Q,3.56,3.74,3.10,3.17,3.11,3.63,334,391370,1263539.00,
500103,BHEL        ,A ,Q,64.85,65.25,63.10,64.85,64.85,64.30,1861,704184,45299931.00,
500104,HIND.PETRO  ,A ,Q,233.15,233.15,225.30,226.95,226.95,233.75,3306,276925,63033273.00,
500106,IFCI LTD    ,A ,Q,13.45,13.45,12.90,13.00,13.00,13.49,537,192933,2530801.00,
500108,MAHA.TELE   ,B ,Q,13.55,13.55,13.00,13.07,13.07,13.70,343,156079,2074406.00,
500109,MRPL        ,A ,Q,66.80,67.15,64.60,65.30,65.00,67.65,531,78169,5135510.00,
500110,CHENNAI PET.,A ,Q,245.00,245.00,225.60,229.65,229.65,237.75,1296,63459,14553243.00,
500111,REL.CAP.    ,A ,Q,179.15,181.00,148.75,151.70,151.70,189.15,29513,4673393,741502766.00,
500112,STATE BANK  ,A ,Q,283.40,284.85,278.00,283.60,283.60,284.30,7757,1106833,312109541.00,
500113,STEEL AUTH. ,A ,Q,46.25,46.25,44.65,45.70,45.70,46.25,1719,830090,37595376.00,
500114,TITAN       ,A ,Q,1024.00,1049.00,1010.10,1025.70,1025.70,991.30,12533,1029618,1060415259.00,
500116,IDBI BANK L ,A ,Q,52.85,53.40,48.75,50.65,50.65,52.80,6926,3659651,187573299.00,
500117,DCW LTD.    ,B ,Q,15.20,15.20,14.70,14.80,14.80,15.45,116,25232,375580.00,
500119,DHAMPUR SUGA,B ,Q,165.00,167.00,160.05,164.90,164.85,165.50,836,55126,9113869.00,
500120,DIAMINES&CHM,X ,Q,128.00,128.00,121.75,124.35,124.40,125.60,89,3544,441960.00,
500123,ELANTAS     ,B ,Q,2219.95,2219.95,2175.00,2182.70,2177.10,2225.40,39,1091,2397489.00,
500124,DR.REDDY'S  ,A ,Q,2792.30,2875.00,2724.00,2742.20,2742.20,2786.90,5102,97819,273965711.00,
500125,E.I.D.PAR   ,A ,Q,203.00,203.00,194.05,197.25,199.50,200.75,204,4012,796300.00,
500126,MERCK LTD   ,B ,Q,3280.70,3299.65,3182.00,3261.90,3263.00,3280.70,284,1129,3651380.00,
500128,ELEC.CASTING,B ,Q,21.10,21.10,19.75,20.05,19.90,21.35,125,14673,294867.00,
500132,EMPEE SUGARS,XT,Q,1.32,1.32,1.26,1.26,1.26,1.32,9,12830,16914.00,
500133,ESAB INDIA  ,B ,Q,885.00,885.00,864.60,871.50,871.00,893.50,6,111,97313.00,
500135,ESSEL PROP  ,B ,Q,107.00,107.60,104.00,104.75,105.00,107.30,86,4065,427724.00,
500136,ESTER INDUS.,B ,Q,30.50,30.50,29.50,30.05,30.05,30.60,84,30339,908297.00,
500139,FEDDERELEC  ,Z ,Q,10.89,10.89,10.89,10.89,10.89,11.46,1,100,1089.00,
500141,FERRO ALLOYS,X ,Q,4.05,4.20,3.91,3.95,4.08,4.10,149,61054,246741.00,
500142,FGP LTD.    ,XT,Q,1.33,1.33,1.33,1.33,1.33,1.40,1,200,266.00,
500144,FINOL. CABLE,A ,Q,419.00,419.15,407.70,412.55,408.05,414.50,309,4851,1998071.00,
500147,CMI FPE     ,X ,Q,1001.00,1050.00,996.95,1032.30,1032.30,1000.00,117,2602,2672440.00,
500148,UFLEX LTD   ,A ,Q,249.85,258.00,249.85,251.75,251.75,249.85,354,8479,2142010.00,
500150,FOSECO INDIA,B ,Q,1404.30,1405.00,1377.00,1385.00,1385.00,1415.35,22,244,338469.00,
500151,GOLDEN TOB  ,T ,Q,34.80,38.20,34.80,38.20,38.20,36.60,17,3185,111071.00,
500153,GANESH BENZO,X ,Q,50.80,52.20,48.00,48.25,48.25,50.80,173,24404,1198793.00,
500155,GARDEN SILK ,B ,Q,19.75,20.25,19.40,19.90,19.95,20.60,20,1893,37223.00,
500159,METROGLOBL  ,X ,Q,61.00,65.00,57.70,62.10,61.00,63.80,18,567,34006.00,
500160,GTL LTD.    ,T ,Q,5.57,5.57,5.30,5.30,5.30,5.57,21,8579,46361.00,
500163,GODFREY PH  ,A ,Q,952.00,964.05,935.40,947.45,947.45,938.95,799,24063,22886053.00,
500164,GODREJ IND  ,A ,Q,517.00,517.00,494.30,506.25,506.90,504.40,514,22582,11354796.00,
500165,KANSAI NERO ,A ,Q,448.80,458.95,445.00,456.55,454.05,456.20,291,4222,1908233.00,
500166,GOODRICKE   ,X ,Q,251.95,252.00,245.10,246.85,245.10,251.65,47,3823,950206.00,
500168,GOODYEAR (I),B ,Q,914.75,914.75,890.00,891.40,898.00,902.60,70,482,431032.00,
500171,GHCL LTD    ,A ,Q,249.85,249.85,236.85,245.30,245.30,249.45,501,28566,6878677.00,
500173,GUJ.FLOURO  ,A ,Q,871.10,874.75,845.00,862.70,862.70,880.35,251,2949,2526424.00,
500179,HCL INFOSYS ,B ,Q,19.80,19.90,19.05,19.10,19.05,19.80,233,52301,1005851.00,
500180,HDFC BANK   ,A ,Q,2099.00,2113.00,2083.00,2107.00,2107.00,2091.65,2769,77012,161673897.00,
500182,HEROMOTOCO  ,A ,Q,2810.00,2841.85,2720.35,2781.45,2801.10,2807.35,2722,40649,113150907.00,
500183,HIMACHAL FUT,A ,Q,22.50,22.75,22.15,22.30,22.30,22.50,1841,406342,9087045.00,
500184,HSCL        ,A ,Q,117.05,117.25,114.20,114.90,115.30,118.35,1226,91688,10635526.00,
500185,HIND.CONSTN.,A ,Q,12.27,12.28,11.50,11.60,11.50,12.27,526,303590,3582902.00,
500186,HIND.OIL EXP,B ,Q,108.20,109.90,106.00,106.90,106.90,108.45,472,31620,3396235.00,
500187,HSIL        ,B ,Q,260.00,274.95,260.00,265.20,265.20,258.35,1925,64095,17213767.00,
500188,HINDUS.ZI   ,A ,Q,254.95,258.65,250.70,254.60,254.60,255.15,870,57825,14705139.00,
500191,HMT LTD.    ,Z ,Q,17.30,18.20,17.30,17.50,17.50,17.85,9,1962,34867.00,
500192,PRAG BOSIMI ,XT,Q,2.85,2.96,2.85,2.94,2.96,2.82,7,13804,40441.00,
500193,HOTEL LEELA.,B ,Q,13.25,13.25,12.96,13.11,13.11,13.29,59,17495,228539.00,
500199,I.G.PETRO   ,B ,Q,299.00,302.40,285.00,291.75,291.75,286.85,311,6571,1931999.00,
